date,time,message
6/11/2026,22:46,Kittie is 1 year youbcdr than me he isnt that young bro
6/11/2026,22:46,American collage debt freaks me out
6/11/2026,22:47,WHAAT
6/11/2026,22:47,Im legit one year youbger than you Ivy
6/11/2026,22:48,I get paid 900$ per month to study + 1100$ in student debt but its all pocket money to survive and shi not tution
6/11/2026,22:50,Im doing a bachelor rn but Im goona do a masters after since the job market is fucked rn
6/11/2026,22:54,Thats me when brand use Ø like a egdy o
6/11/2026,22:55,Yeah røde and mønster use them like Os it reads so weird
6/11/2026,22:55,"It is like a throw up sound like the ""I"" in girl"
6/11/2026,22:56,Or like you were punched in the stomach
6/11/2026,22:59,Stop jide violence✊️
6/11/2026,23:02,Ivy has seen the graph
6/11/2026,23:03,Ivy has made atleast 700 bucks
6/11/2026,23:06,Ive made like 400$ of gtw I think
6/11/2026,23:07,"Bambee, kittie and lime pays for work"
6/11/2026,23:09,That sound like a crypto currency
6/11/2026,23:09,!crashout
6/11/2026,23:11,Highlught
6/11/2026,23:12,I wonder who would be top 3 if you combined the time of all the main catagories
6/11/2026,23:14,Isnt 4 possible
6/11/2026,23:15,What how
6/11/2026,23:15,Insane
6/11/2026,23:16,A tas lowgrab rub would be so cool to watch
